"ano","nome","total"
"1950","James","87175"
"1950","James","86221"
"1950","Michael","88485"
"1950","Michael","90519"
"1950","Michael","92709"
"1950","Michael","88283"
"1950","Michael","85272"
"1950","Michael","90633"
"1950","Robert","86135"
"1950","James","87083"
"1950","Robert","83540"
"1950","James","84860"
"1950","David","82585"
"1950","David","83921"
"1950","David","86191"
"1950","Robert","86572"
"1950","James","84242"
"1950","James","85946"
"1950","James","86277"
"1950","Robert","86327"
"1950","John","83121"
"1950","David","82367"
"1950","Michael","84164"
"1950","Robert","86258"
"1950","James","78597"
"1950","John","81512"
"1950","Robert","83903"
"1950","James","78731"
"1950","James","84130"
"1950","Linda","80431"
"1960","Michael","83795"
"1960","Michael","80002"
"1960","Michael","86916"
"1960","Michael","82019"
"1960","Michael","82454"
"1960","Michael","85227"
"1960","Michael","81048"
"1960","David","85931"
"1960","Michael","82674"
"1960","Michael","85046"
"1960","David","66805"
"1960","Michael","84206"
"1960","John","71563"
"1960","John","82536"
"1960","David","84771"
"1960","David","81328"
"1960","John","78647"
"1960","David","63728"
"1960","David","63739"
"1960","David","66447"
"1960","John","79904"
"1960","John","60924"
"1960","David","78482"
"1960","James","59940"
"1960","David","67886"
"1960","James","65193"
"1960","James","61704"
"1960","James","76872"
"1960","David","75066"
"1960","John","78447"
"1970","Michael","85321"
"1970","Michael","67153"
"1970","Michael","77611"
"1970","Michael","66971"
"1970","Michael","67728"
"1970","Michael","68457"
"1970","Michael","71426"
"1970","Michael","67864"
"1970","Michael","67577"
"1970","Michael","67611"
"1970","Jennifer","56786"
"1970","Jennifer","63606"
"1970","Jennifer","56715"
"1970","Jennifer","62454"
"1970","David","61776"
"1970","Jennifer","63111"
"1970","Jennifer","56311"
"1970","Jennifer","58960"
"1970","Jennifer","58185"
"1970","Jennifer","59479"
"1970","James","61775"
"1970","Christopher","48322"
"1970","Christopher","50676"
"1970","Jason","51625"
"1970","James","54608"
"1970","Jason","52199"
"1970","Jason","55649"
"1970","Christopher","52195"
"1970","Jason","54778"
"1970","Jason","52686"
"1980","Michael","64887"
"1980","Michael","64116"
"1980","Michael","68204"
"1980","Michael","68752"
"1980","Michael","64184"
"1980","Michael","65374"
"1980","Michael","67722"
"1980","Michael","63631"
"1980","Michael","67986"
"1980","Michael","68666"
"1980","Jessica","55985"
"1980","Christopher","59325"
"1980","Christopher","53175"
"1980","Christopher","60016"
"1980","Jennifer","57041"
"1980","Christopher","59583"
"1980","Christopher","52979"
"1980","Christopher","56675"
"1980","Jennifer","58385"
"1980","Christopher","59225"
"1980","Christopher","50229"
"1980","Jennifer","50559"
"1980","Jessica","51530"
"1980","Jennifer","57109"
"1980","Jessica","47882"
"1980","Christopher","49086"
"1980","Ashley","54840"
"1980","Jennifer","54336"
"1980","Jessica","52667"
"1980","Jessica","48346"
"1990","Michael","60781"
"1990","Michael","65274"
"1990","Jacob","35344"
"1990","Michael","37543"
"1990","Michael","38364"
"1990","Michael","49553"
"1990","Michael","41403"
"1990","Michael","54377"
"1990","Michael","44465"
"1990","Michael","36613"
"1990","Christopher","38228"
"1990","Christopher","34799"
"1990","Christopher","42461"
"1990","Jacob","36001"
"1990","Jacob","34141"
"1990","Matthew","32874"
"1990","Christopher","52323"
"1990","Christopher","47099"
"1990","Michael","33905"
"1990","Matthew","32072"
"1990","Matthew","35770"
"1990","Matthew","30414"
"1990","Matthew","31511"
"1990","Jacob","31912"
"1990","Jessica","46466"
"1990","Christopher","32668"
"1990","Ashley","38453"
"1990","Ashley","43482"
"1990","Matthew","31137"
"1990","Matthew","33645"
"2000","Jacob","30556"
"2000","Jacob","27871"
"2000","Jacob","24252"
"2000","Jacob","25814"
"2000","Jacob","24830"
"2000","Isabella","22278"
"2000","Jacob","29615"
"2000","Jacob","22568"
"2000","Jacob","32527"
"2000","Jacob","34465"
"2000","Michael","21964"
"2000","Jacob","21144"
"2000","Michael","28242"
"2000","Michael","27107"
"2000","Michael","32025"
"2000","Michael","25438"
"2000","Michael","20590"
"2000","Emily","23928"
"2000","Michael","22625"
"2000","Michael","29675"
"2000","Joshua","25978"
"2000","Ethan","20196"
"2000","Ethan","21015"
"2000","Matthew","26799"
"2000","Emily","25025"
"2000","Matthew","28569"
"2000","Michael","23795"
"2000","Emily","25685"
"2000","Ethan","19834"
"2000","Joshua","22302"
"2010","Emma","20799"
"2010","Sophia","21147"
"2010","Sophia","22267"
"2010","Isabella","22883"
"2010","Sophia","21816"
"2010","Emma","20902"
"2010","Jacob","22082"
"2010","Olivia","19674"
"2010","Jacob","20331"
"2010","Emma","20876"
"2010","Isabella","19870"
"2010","Olivia","18366"
"2010","Sophia","20612"
"2010","Isabella","19058"
"2010","Noah","19144"
